,True Ad Prices,Predicted Ad Prices
19922,4799000,4542190.054813623
20240,369900,371186.8189036418
20148,4999000,7605597.731811624
27936,549000,441265.420326104
9557,1899999,2004384.4105324715
1476,8390000,8710352.977197502
10344,1199000,1135086.383149246
4753,550000,427308.80429979693
25702,395000,994369.7279730419
22516,1490000,1595017.5159840514
4463,1295000,1041612.092838858
24734,2570000,4360573.751813519
20716,1690000,1959058.066899399
14736,1599000,1518176.7254838361
25119,2749000,3045098.95724123
20187,5298000,5363358.518377243
13686,2590000,2434966.900311319
25937,1999999,2910600.429104246
8031,1990000,2389432.1520597953
2530,7990000,7088604.001151315
14089,8595800,8496344.5472589
27448,6960000,8299812.506030283
8598,2990000,2614568.505612127
11275,180000,315656.08288595773
24852,1595000,2291718.239671709
11423,7990000,10756740.375774661
534,130000,334472.3140746446
24875,1399999,1711834.3362673363
948,1449999,1517170.9286114199
2268,550000,354179.9558615119
14490,7900000,9084837.533188611
9365,2730000,2633236.2464452325
25635,1900000,2053063.9053960668
26183,2895000,2543994.4343468715
11108,8900000,7615528.957029826
27751,60000,442333.1627728699
6999,13827000,13290303.432505658
5858,549999,334472.3140746446
6313,890000,1054060.7332401688
21924,2290000,1797781.6259869828
11419,9999999,6937843.950042981
10976,1690000,1508019.6187500816
26193,5250000,5452041.056383858
6629,549000,460340.7070915327
27479,549000,429057.91648898827
16660,1265000,1264239.708675799
20381,1599999,1045785.9814262397
17122,149000,347003.8023975422
14307,16594000,14566328.535829522
25870,980000,1277623.28338133
4662,1450000,1989215.0349807902
2233,399000,427308.80429979693
10375,2099000,2064350.427683585
4847,2199000,2111169.6450683814
21178,1400000,1180506.723995384
22753,1100000,1184259.9840019033
863,2590000,2332975.034646601
24835,590000,443035.0229430634
21893,549000,1866327.7046631542
13097,950000,963058.5572763715
17312,2690000,2493349.5040445873
26472,9000000,9249214.567678856
11122,4599000,4895950.738451774
14051,5999900,5095233.321978846
13773,590000,706010.7901459804
10815,1690000,1272557.1238608724
1100,550000,334472.3140746446
22148,2599000,1927543.4953975277
18488,4490000,4639251.663181105
18690,850000,1532865.2881728383
3225,2500000,2078368.1136823953
18519,2299000,2249211.5725011537
15126,2590000,2946130.5640883213
22532,10999999,9013869.742703263
23750,159000,315656.08288595773
15938,5590000,4668551.429978282
14477,1490000,1866524.3959832063
10677,2199999,2731235.8906520563
4809,1999000,2272781.0204578624
11008,2100000,2055497.6878873657
28213,150000,315656.08288595773
20339,380000,602314.5854122292
6480,355000,756172.9850543758
4090,9286900,8646187.453659303
6251,10600000,10030306.718595926
23047,2899000,3093878.9773742463
7894,8999000,8764890.162179654
11773,2990000,2543342.299553908
5949,1599000,1612177.4012621907
2077,4990000,3694314.2833301504
21559,2490000,2315526.0540186367
28066,6299000,6666565.173237443
10143,1498000,1613528.0618940438
9209,1590000,1753555.1348324285
24282,2249000,2221378.3790802695
2737,1490000,2259474.5874126465
14978,1500000,2119074.4881235166
11141,1790000,1643094.409640073
28372,550000,1513856.4308178732
25192,5290000,5086593.947674437
28487,5200000,4422466.516799049
26609,2850000,2486523.3574428353
20177,8690000,9928492.686119696
13566,950000,642445.4448155017
27036,199000,315656.08288595773
12895,1590000,2239793.7537787855
3852,1990000,2022540.7674020615
14908,2599000,2168572.7768719955
10527,888000,1288087.714793529
890,9290000,9249799.469699807
12406,1290000,1355485.8747784658
5434,2590000,2469417.580663232
18280,1299000,1271266.0317432187
12924,950000,1794796.8822578797
19124,1999000,1990615.849366182
19603,3000000,2672771.9784882506
26989,8900000,8626595.069187751
13555,1500000,2761446.853080199
24022,1999000,2076115.5071323293
19458,1849000,1361657.5201054488
15560,599000,427404.49078103044
4744,1990000,1785450.5672454508
8005,1290000,1302479.2712896422
24098,1250000,1738396.6760649763
6665,195000,315656.08288595773
7936,2299000,2155616.9092624583
10882,2149000,2207152.4356810157
405,1500000,1513279.913642456
11447,2899000,3295812.6729035173
13335,1400000,1180568.8766561255
19668,499999,394151.8805224284
7282,2190000,2521891.126485556
10205,2799000,2438984.604477213
13279,590000,1483625.12787449
12415,2199000,2400699.54700699
2503,7690000,8477882.606634831
11083,2499000,2130283.0356153427
13704,2799000,2446554.8571981583
19254,550000,353881.1347551724
21779,4490000,2950602.4486309714
11393,8990000,7396801.64397872
15974,4000000,2916600.886801024
27202,1950000,1736329.6096522382
22999,4140000,2710462.939728285
25466,41990000,30085378.30004197
25078,1999000,2313148.2692782613
14498,1599999,1357223.038137029
17821,95000,584779.148167915
13029,1949000,2201459.153620373
15961,9500000,9571331.164962089
14091,1690000,2020797.12850855
3197,2100000,1644075.6942250428
2269,550000,353881.1347551724
12874,1590000,2203974.075577363
2705,2599000,2172810.42852627
19929,375000,348559.557851839
26387,2060000,2505399.825293159
23282,1549000,1414094.3475641639
8376,11800000,10175777.808016786
10959,1549999,2282857.6721227267
3932,10990000,9670529.128851112
12048,6399000,6270717.598057448
20796,590000,1305779.9951816343
24881,399000,600195.0289940718
3637,6799000,8497232.013752142
1777,17490000,15072096.40300715
4095,2190000,2183055.589620256
1811,5425000,5308187.441600417
9876,549999,338729.025675605
12242,950000,1239078.240096929
21938,9950000,10880390.557505602
19872,3999000,3551237.273418334
17868,8190000,7345047.957430318
18269,360000,1139421.864535247
19237,200000,334472.3140746446
13904,1899000,2040958.5552916827
6493,4190000,5074855.088952244
14711,1500000,948907.940856788
20872,8699000,8033707.2828397155
4759,2499000,2515728.8145498787
7878,2190000,2077853.3972918978
24687,2600000,2563153.139935345
18938,795000,1460795.9300514474
21875,150000,318600.4798090243
23174,980000,945488.2010683668
21514,970000,365865.2420003084
7607,2599000,2281559.1099463454
16877,8790000,10493407.757284803
4219,799000,599760.1012158316
8678,2800000,2193840.921220384
19831,33990000,30034069.77653303
23658,1290000,1509022.8404520517
27749,2099000,2365761.2596007986
17999,820000,981007.4363467152
9636,2100000,1362084.033555973
19984,5250000,2633191.6881685066
9169,390000,568692.9334339147
25474,2899999,2536281.4029539097
5586,5499000,5246836.447192956
6722,2450000,1898745.5242369762
13779,1100000,1633549.8470055491
11569,2499000,2301603.462469022
15677,9409000,8655133.225413341
26039,7000000,11195341.549116578
10626,540000,402368.58135354123
10786,180000,568394.1123275752
8348,2349000,2170869.1714996574
20301,149990,365865.2420003084
2884,2480000,2681524.7988696555
2021,8390000,6941143.045282228
17953,10350000,10063101.179593073
12344,364000,315656.08288595773
3472,189000,315656.08288595773
15427,3690000,4187031.7741235485
18641,3549000,2988536.3445824464
9261,1900000,2220003.8469918156
6068,1280000,1869127.264856936
7288,2750000,1755681.9886240105
21649,8288000,9048133.071031619
15321,5090000,3690925.6419446277
15916,5699000,4469394.924985046
13214,499999,365865.2420003084
23274,1100000,1259209.656139157
27755,2259000,2103863.3259050352
8674,2499999,2193840.921220384
17204,1590000,1633628.687054372
3234,14999000,20262342.92480101
5064,2589000,2444014.92280997
1878,14990000,13635146.804819452
10878,1050000,857224.2894622497
2050,575000,1134877.755007249
11238,2500000,2690155.541672603
8671,2750000,2369746.892469317
18391,550000,631122.365482733
9463,11990000,10144326.747666478
26034,1270000,840906.112976061
25932,2990000,2530857.7695297776
4578,3999999,4149473.5278711794
10149,598000,604345.6647184566
6398,2199000,2105244.219992368
9108,7969236,7312319.878454238
24819,2290000,2230736.368488963
8752,2199999,1505925.987532467
13828,389000,602141.9996059859
12711,599999,353881.1347551724
24211,2499000,1960164.8578362442
18751,2899000,3171899.5843380126
18640,200000,584779.148167915
21135,1599000,1728552.9953354648
16696,559000,315656.08288595773
4724,1496000,1861984.2073902532
27090,2050000,2005452.9627370548
557,1399000,1176547.9342055435
19568,599000,602314.5854122292
12026,2850000,2214701.845849267
4767,2150000,2231924.4726133477
13144,10888000,9380023.594270669
1205,399000,391503.25522976596
788,210000,315656.08288595773
9092,4299000,4451356.868012611
13996,6020000,6715233.691363785
1478,1490000,1737700.1199721594
10475,9492000,10052735.468127321
11558,2099000,2136133.3687379085
5581,5199000,5232404.707503154
27684,5199999,5154687.004726095
24553,1300000,1847750.3530824126
6713,6950000,6778045.448476384
24034,2790000,2117889.366574602
865,2139000,1846872.4935912841
6481,79900,665248.4565986937
6687,1300000,1709230.0799208072
19303,1030000,460340.7070915327
4125,3340000,3132913.641705379
19799,1290000,1438628.144464615
24865,2849000,2947126.2906549927
27995,7999999,8109337.616237269
21413,1689000,1476404.891206001
23649,2248000,4213297.382919947
3212,8064000,7080752.792905105
3285,7790000,6887241.09057819
20073,2199999,1928530.1776303833
15617,1599000,1942481.4151673866
22143,1295000,1916827.3152218596
20300,1697000,1721672.306843446
20730,1195000,472729.05987248797
6624,198000,415856.2348131084
10595,7990000,7575982.083396741
23211,985000,751326.048807189
4900,1099999,1772714.5470713824
22462,1900000,1652818.8196373915
1221,2785000,3477973.3502670764
21250,160000,338729.025675605
6396,3299000,2469204.581817155
5633,5249000,4729351.901236943
13610,1999000,1832633.5188684661
18424,4990000,5160005.238395985
27878,5089000,4321829.042971654
3611,699999,987189.2561204731
16117,99000,1073703.6512527384
26564,1490000,2009182.9049677767
16053,125000,338729.025675605
20601,2489000,2036771.345524031
15069,9800000,8107430.58634254
24493,8700000,8946927.657995006
31,170000,5581851.046440494
6029,550000,669960.621538793
9520,2790000,2270764.852123353
2238,2490000,2235847.4042931516
23887,549000,604345.6647184566
7111,799000,1137133.8881401522
8684,590000,427308.80429979693
15478,549000,584779.148167915
13288,8000000,8198425.857626453
7506,3199000,3058890.365238081
14071,4990000,4603023.688517302
2246,26999999,25823970.599116165
27837,2190000,2512316.874233699
16052,1100000,911332.5515622643
5734,1390000,1431890.819424123
22000,1260000,1033659.079409954
4331,65000,315656.08288595773
517,69999,315656.08288595773
3505,370000,341287.5462876757
1934,1999000,1761443.7484279077
2467,1899000,2218814.856408659
7158,1490000,2281966.8635259066
19609,1920000,1809534.5543805745
11357,1250000,1874877.2237131442
9254,1999000,1844997.7329379541
10342,1444444,1732173.4040220648
8260,2590000,2356161.536035671
16832,2499000,1848153.0280047446
22514,5190000,6437876.425879735
11757,2050000,1880755.016916547
16090,2590000,2212083.7493062583
2934,1500000,1502483.19829113
25079,2990000,3214754.7035283917
23986,1497000,1435726.4161443359
8014,980000,939328.1230234461
24499,1280000,1730988.6737973567
12845,599000,429209.29045608046
95,199000,315656.08288595773
4873,8500000,10280996.84027567
1354,170000,324659.9771631441
21281,1200000,1321560.2250032641
14873,2638000,2625616.831865931
23121,1450000,1088542.464857137
26287,2197000,2132762.1288362504
17490,2590000,2388809.624985798
26867,579000,412261.2111845071
14278,1999000,2518608.226043293
5240,2500000,2497690.3240261334
19282,699000,1044554.4061485732
14998,170000,623693.2794792975
12616,2980000,2211555.2359378044
8470,2990000,2047356.878969233
9171,590000,568692.9334339147
17313,2749000,2417176.1465909802
13482,1799000,1299999.8375428584
6941,2549000,2307356.8389654714
21703,720000,1078214.8694264148
22244,8295000,8723128.9394678
8828,550000,1033234.2094928889
20858,950000,980809.9554322379
4927,205000,602141.9996059859
14598,2760000,2491984.918489696
24656,399000,412261.2111845071
13471,2499000,2546794.8179475227
8512,950000,970407.2714301093
23427,399000,442333.1627728699
27020,4190000,2884560.505750525
24213,1600000,1512182.5772599087
7632,2849000,2320740.8118724464
24173,2200000,2253470.803359344
9957,4990000,4650646.228341511
23781,2990000,2157896.1430022977
51,150000,315656.08288595773
14138,2590000,2217409.021145606
27606,550000,334472.3140746446
22095,550000,740429.5163597105
10413,10990000,11344703.774841603
5126,2599000,2458792.3822881165
9509,26890000,22347045.311226383
14463,8490000,9685541.233443433
10556,1948000,1965340.8366062962
25150,1269000,1475608.5388609036
7557,5200000,5703294.820668074
21120,199000,791324.942265664
19031,1899000,3448976.0353596774
13835,2799999,2698373.3328765044
21207,1490000,1221003.5708166766
24803,1290000,1368799.3479675099
17656,549000,415252.6744297734
26280,1497000,1811802.8796562531
24260,11300000,11093040.571609208
10927,13570000,10442949.4896806
9638,1429000,1779126.312175932
9764,2895000,2310746.243421986
22661,395000,315656.08288595773
17256,125000,353881.1347551724
1453,9999999,9461577.473223
17401,1799000,2234047.709122439
21784,1439000,1293901.1732376642
15956,350000,351202.1141922063
7954,1999000,2014928.3298129886
11338,2859000,2145285.2828477393
217,4999999,3062597.521567949
6705,1900000,2482882.1528738816
3843,385000,426217.8272108141
2804,11990000,10218061.923957787
100,150000,222155.56535222815
5983,2149000,2114540.0881225234
11720,2290000,1796245.2413695094
9229,1550000,1560410.1530423085
8161,369000,925807.9240706054
17974,2499000,1879325.491089725
12634,9450000,7396542.4628455145
26348,7990000,7603482.474666294
8749,199000,315656.08288595773
26425,2600000,3453950.9427546994
11709,1696000,2762884.5700400616
12216,4185000,2859228.466596977
12890,1960000,2203258.5835399656
16802,18079000,16558095.585563112
20431,2490000,2021037.4414448726
18998,2490000,2243957.737590531
5710,199000,315656.08288595773
15992,2647000,1829058.4230645455
20831,7490000,7359131.383813472
5953,10490000,10498186.480481911
21538,720000,443035.0229430634
14840,1690000,1438159.177988494
3153,1599000,2119374.543913246
27722,2098000,2026324.8461000875
9811,1690000,2618433.640082479
3432,10600000,9108435.964856574
24995,1500000,1497819.568135228
21082,90000,368507.79834067565
23583,399000,351202.1141922063
6498,9490000,8896878.66178775
14764,85000,1654961.6725577242
13136,969000,1134101.688967696
9284,2190000,2339431.593452989
28016,2199000,2180210.0742055285
1225,799900,763263.0768682851
5609,2550000,2341840.2267490234
17587,27199000,25430282.335557558
2761,2200000,1721218.6854171508
16216,10490000,10693194.463637765
22581,11509000,10000665.395956546
6003,360000,412261.2111845071
19336,2990000,2559913.312071897
6361,150000,371186.8189036418
19718,1500000,1876245.992442426
16289,7590000,8731305.943022104
27990,2249000,2212042.6378680486
9444,5896000,5298323.646468154
4931,715000,651803.2977052408
8725,1549000,1482327.241647303
16915,3499999,3206916.493139981
26571,590000,336161.50474464125
20293,2785000,2181785.791368705
11897,720000,556345.9657096204
2136,9800000,9321712.375733042
7846,2790000,2838860.6664280053
2714,2600000,1183051.906665777
24867,950000,708277.3611597561
1959,7200000,6830149.205287699
6963,150000,318600.4798090243
10365,1489000,1497657.2331787567
20697,2349000,2101583.9153601597
1485,1390000,1700515.8369633795
8930,4340000,4800643.815190719
13200,2222222,2107261.40291303
21002,170000,315656.08288595773
5432,2290000,2447337.830700032
22062,380000,392786.9474180607
12152,1980000,2526062.6639238656
19928,550000,348559.557851839
6938,5290000,3825401.5759906457
14222,2490000,2044170.707161814
27964,585000,426217.8272108141
19625,1450000,2143515.8988711815
4570,2099000,2223813.9221122307
26435,2899999,2566783.7679671953
4008,159000,315656.08288595773
7602,1599999,2023644.79488955
13268,988000,1323083.8646207238
16013,2199999,2028280.7751682526
11133,99000,315656.08288595773
18423,8900000,10813427.621686213
16509,1599000,1367479.225625848
8657,1149300,754088.4381443682
26076,399000,315656.08288595773
21030,359000,315656.08288595773
6445,159000,315656.08288595773
1004,7490000,7923234.200977093
14322,2800000,2052460.8882681327
914,979000,1768693.906746966
8211,8199999,8570891.04471481
1767,7899000,6876686.916463349
4793,1450000,1369918.9214926776
16632,599000,347003.8023975422
4715,1250000,1232026.8075450147
24448,590000,1326502.1768433105
20574,155000,657441.5620954741
9477,8500000,8783273.524297776
21889,585000,1464920.3783920598
10925,1400000,1054886.3607875365
7876,199000,315656.08288595773
2584,5375000,6341193.259792384
19249,130000,353881.1347551724
23394,585000,315656.08288595773
7693,1699000,1642106.972877153
19311,2099000,2401773.368611134
27909,2196000,2668153.2540745283
27201,1998000,1736329.6096522382
26156,2190000,2409373.1864857045
18987,23059000,24972248.5019636
14806,1449000,1368723.881940444
27002,459000,578664.4611269892
21852,1599000,1277730.524343943
21089,2199000,2087461.6861495762
26094,1250000,1026351.6620101273
27555,8550000,8333657.171186696
19880,7535000,8155211.489851286
24839,1599000,1279690.8699596594
19869,2775000,2577308.7762808846
14400,7999000,9302027.934407251
22351,1900000,1909862.334446695
4474,1250000,1305848.658318934
21238,2150000,2242027.3593611377
9305,1100000,1128544.9953528915
25787,2197777,2044633.5122930747
12199,290000,315656.08288595773
15364,589999,584779.148167915
12694,170000,334472.3140746446
25145,1690000,2150305.970871145
24602,8990000,9654661.68850206
11096,8485000,8847881.384007704
22408,2599990,2106048.4120549555
21975,2200000,3433805.244248621
7329,2299000,1712612.3686067944
2316,8800000,9656894.000957813
12209,2850000,2127892.3379134345
22716,1599000,2209815.2001704588
13558,1479000,1998372.9846547453
5849,949000,958675.8862601588
28265,50000,315656.08288595773
14112,590000,1134617.2705233828
19881,7530000,8155211.489851286
11710,1590000,1416813.0670604461
16046,30000,413476.0353564818
10126,1999000,2009445.959873603
24244,1590000,1999136.7028855614
20745,1290000,1461314.5431047787
1083,8290000,8734071.108724575
7615,949000,947231.8615426624
11811,1890000,1965050.7172111282
14638,950000,624733.2968141242
22936,11000000,9074351.66470697
26339,4990000,5594725.468180309
17397,165000,362725.102163112
4519,2499000,1026662.6921197935
1798,9490000,10202890.678005597
22378,1450000,1315543.2913319103
26235,2279000,2101515.703516378
7336,2990000,2150058.0272094635
261,2599000,2003829.045096797
19940,599000,2127853.1232755044
4120,11499000,9450293.177811967
26747,1850000,2199499.9871763173
21713,1290000,1275469.2876500254
9144,1599000,1879596.3822867104
24772,3999999,2760376.530482425
8622,11300000,9005094.395110779
21717,1698777,1287660.6964500444
22618,1695000,1230944.749743498
18941,2700000,2108683.2144295075
15254,8400000,6178190.654977082
24887,950000,1945732.922971714
14962,1549000,2003819.1248525898
22722,2589000,2449529.2601849423
2178,190000,509480.1370173751
19317,1259999,904038.9373482784
11220,1280000,1581379.3094573752
8795,4999000,4884648.501609982
6530,11590000,10266294.259808095
5818,2590000,2361454.1580605074
4342,185000,314901.7534877499
14875,1899000,1946032.1303769646
9231,1590000,1823805.5573044682
17734,2990000,2296175.463664776
2335,2099000,2358249.870699132
23799,980000,2008781.1148637133
6408,2100000,2034482.515489076
14913,1949000,1991668.97490135
5266,5750000,6697191.876177045
9651,8500000,9696626.485573212
7793,11050000,10073374.587359646
4582,375000,315656.08288595773
7089,5150000,5648381.593783924
17667,2149000,2131238.3867051653
25390,2250000,1797781.6259869828
26933,1999000,1756955.8327976489
7039,5290000,5464578.591761334
2653,11400000,7371440.223192209
15988,2190000,1791751.2903084126
28414,1999999,1884378.1553966883
21232,140000,426217.8272108141
21631,587000,655194.1783042519
7085,8873000,10563936.750549518
15726,1399000,1794980.782671288
5698,1490000,1807855.9278899983
7027,100000,344445.2817854715
4584,159000,315656.08288595773
22973,100000,438390.9617648774
12442,1690000,1486345.343757068
8865,2099000,2034846.25452249
2401,2799000,2736348.8758620042
647,1900000,2514696.34568028
9145,7990000,7346231.20814069
27261,11500000,10154458.629109886
8650,120000,353881.1347551724
16627,2750000,2627870.345832892
464,7990000,9271192.907958537
12971,4000000,3954158.138995356
2060,1250000,2007306.3780453799
4710,5600000,5773837.603867512
18448,1269000,913436.2042107868
15399,8950000,8621475.355620056
3135,240000,1138757.8283207535
7801,11960000,10091238.347894823
27856,5280000,2390034.129011976
2442,9500000,9335275.943219861
7135,1490000,1337093.4336088682
81,7590000,8959428.672454786
27117,11239000,9985684.661542743
5218,1279000,1339961.0474509536
26614,590000,396711.67472175456
28358,548000,315656.08288595773
6242,980000,761682.57860629
27076,2199000,1838881.1060431888
3137,170000,375233.93554151617
27832,2249000,2327577.3068637745
6267,7799000,6785739.330053876
13695,5430000,5205984.775227132
23104,380000,618775.4580843603
8239,2900000,2841521.549130195
21669,549000,592217.0715507984
13542,60000,315656.08288595773
2811,2990000,2391095.7705848874
897,11490000,9033284.09330391
6140,195000,412261.2111845071
12349,549000,686158.4786141284
11674,2495000,2248559.673754655
12171,9990000,9943140.38551276
27458,2260000,1965230.8859598741
1559,1399999,1405807.856929647
5893,5100000,3289284.0157662258
21462,110000,353881.1347551724
25955,1399000,1334101.709309787
3487,120000,220612.68736327885
21945,13700000,13090753.607529113
5066,560000,600195.0289940718
12702,1500000,2129208.0766746653
13134,1599999,1207837.0628313913
27368,2299000,743129.23357627
15341,1250000,1966433.1442917709
21526,1990000,2361210.9585223896
23699,2199000,3097335.2226834227
152,3999999,5979572.693044289
15345,3450000,4537482.258458854
14755,1250000,1463785.4997731731
26012,9500000,10360726.786245314
11613,950000,1503306.7022565247
7491,4990000,4493008.703520031
28214,1890000,2387161.982462249
5277,398000,600195.0289940718
5689,2939000,2521138.6950691775
23048,9000000,8835844.06177424
28013,599000,376753.38048462215
22403,560000,383704.5133470101
13678,2290000,2087044.7794529314
18442,129999,360642.3407229381
16610,1090000,982100.370125269
4589,189000,315656.08288595773
27078,7999000,9124643.120704195
13180,2600000,2549824.4503536243
25193,4190000,5135850.786547941
21335,2240000,1332055.8392066017
21191,2750000,2128947.6071872865
3192,1590000,1114196.8599929973
4027,1949888,1883318.078517698
5566,9850000,9973560.349949738
5969,2990000,2518182.58926032
16875,4100000,3648655.9147335677
7600,15990000,17600695.761934962
20433,3298000,3341469.3403469496
22601,8290000,7795343.277754588
17393,1589000,1736722.820458527
25446,390000,1149909.7935547947
25867,2990000,2240538.8721400416
12237,4999000,4999000.358296409
27184,7490000,5613732.7442180775
27178,595000,1595764.8413281117
26013,355000,315656.08288595773
14260,11800000,10312895.400761116
19074,5499000,5658746.253039379
7991,4990000,5272378.524934772
11717,2090000,1902997.5565316998
17756,18660000,17077371.703329325
19065,945000,592217.0715507984
10181,2950000,2864475.7920071976
18592,1550000,1784661.1016675725
22416,1899000,2364711.196395097
11678,12200000,10620285.690437462
28181,499999,1172075.778753395
22159,1490000,2184383.9606001913
10760,799000,1449005.5383045555
20363,970000,1224368.9181838338
1138,11990000,9182808.973460121
17212,399000,362725.102163112
190,1999999,2192674.0444072066
16189,1450000,1467408.9722254777
9730,27170000,25358568.32509715
24942,1480000,1542803.565680023
5099,10999000,10093807.674946614
4204,799000,721300.4362929052
8917,2799000,2372695.7258908525
360,2199000,2142024.5202366887
13105,1999000,2274269.3320419174
17045,2249000,2540353.1184684564
14814,575000,441396.0480769912
15604,7590000,8022434.966760846
6133,190000,315656.08288595773
11614,18490000,21778145.04150464
17310,2500000,2405550.5270451806
6073,215000,353881.1347551724
515,1500000,2123849.4061215906
25883,1999000,2454281.112882648
9930,10450000,9201844.40429125
18779,550000,685231.5124948116
24489,8999999,8881185.558216508
11368,150000,602141.9996059859
6348,7790000,7340111.955743982
7871,2290000,2705924.2750869812
17504,350000,364975.33736297954
21484,3889000,4358477.7418437805
11876,2500000,1973287.515278639
27318,2190000,4909728.3794253655
5454,9584000,8918521.0211902
4842,1290000,1636836.7958343246
4402,9698000,9737382.802189214
26565,1549000,1298105.5102750675
22491,1950000,1289194.6904846563
17193,219000,389679.6127220915
17710,1285000,1292686.67976578
14583,11490000,9126084.822857033
11348,10600000,10156011.929020882
3165,1490000,1233379.4623467512
9120,2599000,2135989.770795202
6007,3949000,3015651.7532034605
28499,4999000,6490798.971440299
14687,3120000,2594672.356542268
22261,1600000,2143251.22291618
16412,1690000,2382168.2698790887
7201,13990000,11752358.297622716
19062,199999,353881.1347551724
17918,4698000,4723469.750656817
8571,2090000,2244995.0779994624
26274,2797000,3048774.9607494003
3073,11325000,9936857.389259223
3803,2090000,2107644.5212109773
27949,1999999,2769103.572765876
4760,3796000,2248575.359986677
3597,160000,315656.08288595773
22277,2895000,2888869.6531949495
26958,9599000,10693642.20412544
15268,7090000,6990456.501721309
22012,2250000,2441263.329512498
9621,7900000,7538025.430613275
12494,100000,412261.2111845071
8612,2280000,2015959.5841651172
3969,1380000,1675198.485716787
25641,2099000,1853174.5007408813
27724,219000,315656.08288595773
27752,599000,395871.530101673
1786,2290000,1969672.1759095076
6979,899000,714600.040698674
16282,199000,343962.4161918133
2728,8990000,8595571.055055339
25374,2899000,2335456.553549124
371,539000,442333.1627728699
4179,2500000,2274325.8688996946
5929,11950000,10579512.410818098
28147,5100000,4200333.771635862
22876,1100000,853270.5017698988
8459,599000,584779.148167915
23329,2790000,2797693.310507796
5641,10990000,14940632.939785846
10161,2590000,2292359.930727005
10726,2499000,1977653.428792462
10144,1698000,1736549.683598523
7706,8290000,8175220.153259353
28350,590000,690536.9397677239
24546,5190000,5013764.023970019
10153,590000,604345.6647184566
18883,8615000,8549873.776191356
13631,4990000,4351847.532003204
24984,210000,400633.312104813
24431,11138500,13723000.421102734
255,2490000,2489669.3242107737
13597,800000,1160809.4160023667
14607,2220000,2371154.194896612
21955,9500000,9068554.45033398
9640,1690000,1733835.5881269157
3536,1990000,1568318.9381207346
26617,2290000,2434476.8893982014
6548,1490000,1678904.1079171114
20639,4799000,4480084.497334889
22091,1590000,1529218.1733975129
20097,199000,315656.08288595773
21620,1570000,1745554.8722634942
17737,1970000,1946312.2224121934
27067,9990000,9772558.757395778
22982,1999999,1993822.7264186167
9866,1999000,2111018.1921838853
8312,1490000,2059306.0683998985
28380,1990000,2109419.267805082
25569,2199000,2064502.6017407782
27401,5150000,6015595.209275637
8583,399000,2186454.3073130194
24069,595000,626798.2833842642
11675,11999990,12842417.14324113
2759,0,7157488.761586421
21515,759999,1112987.2278127389
26085,380000,412261.2111845071
5761,9690000,9464209.297302475
9140,2150000,2150447.6382972486
27957,8450000,5669609.601615674
7308,2199999,1812827.2818733868
5902,799000,2383860.4248717185
16160,4199000,4803480.924242322
202,5190000,6427514.478264535
18870,8973000,8595571.055055339
5752,599000,1001721.4604141138
14991,1385000,4334633.715870679
25122,1599000,1298681.181765702
24600,2899000,2370270.7163114776
13823,2220000,2462813.115726093
14938,1990000,1268814.7063704883
21674,1450000,1670117.726517769
24188,375000,568394.1123275752
21186,550000,1144405.4644413143
26064,1500000,1720817.449036359
144,985000,1163664.6853373735
8039,1500000,1544692.739423798
6835,10999000,8499165.114717027
24648,2099000,2355204.5172743523
13433,2499000,2302435.769005866
25735,1480000,2672113.39202361
1133,2299000,1838600.6938747554
14823,1599000,1893650.517031363
14652,4149000,4662611.12686439
9115,4995000,5926383.422780188
2995,219000,1134877.755007249
5676,12990000,11537526.900184702
4616,1450000,1497189.3252284874
4432,8450000,9781006.836805794
2259,1599900,1811076.7478320978
15949,1900000,1637710.209386666
7026,10340000,9131195.091652978
1775,1690000,1749018.6732066083
10630,575000,452889.262242882
13820,3750000,3505439.1632917607
25637,1980000,2443938.0364971217
22045,130000,315656.08288595773
13163,8595000,9048133.071031619
6045,200000,595394.4849756431
28023,598000,407739.1844021225
6253,190000,560014.413558526
16598,5699000,5196350.967695444
19866,1449000,1203882.880785864
26224,2990000,2715311.000310551
17329,1990000,1729181.1326132214
25417,2629000,2375280.4976525237
22542,1950000,1688549.5514181342
4411,2249000,2381695.334857294
14409,4190000,4436557.905703252
11793,1399999,1432465.4849764977
15640,1590000,1969863.2732570425
13225,1690000,1769296.2450430698
2966,99000,315656.08288595773
20491,4480000,4998173.951971408
14836,1620000,1233437.2556448625
19598,2950000,3974067.205071224
11745,2380000,2056694.0776077127
17460,13290000,10594718.822888501
23759,2490000,1711049.7107700005
20234,9699000,10031127.481329648
16869,185000,315656.08288595773
11426,1999000,2117693.11094697
13233,77000,333107.38097027683
14435,9490000,9411880.560996559
23264,1995000,2165460.782002522
28107,55000,251980.00509870422
18043,2799000,2588589.551667059
27257,4998999,5201308.878908182
6355,2900000,2553968.9992066096
28370,550000,630024.0808372557
17939,1298000,1333365.9462370793
745,1400000,1224650.566433519
22165,379000,377416.01145257166
18900,8959000,9921149.79732336
28047,1989000,2120447.98957662
14568,5199000,4079385.1802576766
13474,1450000,2256081.6030614516
15749,390000,602314.5854122292
5945,950000,952870.1656740379
