,Feature,SHAP Importance
3,mileage,1771798.990739815
9,msrp,1523808.9883731012
8,antiguedad,937373.2428548995
1000,Environmental_6,187660.1201655809
56,Shifter_14,116493.40438321426
16,acceleration,87646.02355199405
999,Environmental_5,80712.48190239187
18,power,78501.33291168224
998,Environmental_4,68262.63935897991
10,weight,48834.48268951168
11,fuel_tank,36734.233354510456
14,consump_mixed,29707.225400984025
7,highlighted,25068.979316908622
979,Category_9,23916.471221788826
12,boot_capacity,23078.1844397175
15,top_speed,19546.17305368125
17,torque,17326.98921479641
992,Fuel_3,14778.70566646677
6,ccm,14441.523108556663
1001,Environmental_7,11901.425684232683
0,numpictures,9839.254287971447
23,Region_6,9428.30303183566
2,adoldness,8817.322434059453
124,Brand_36,7113.107572860447
377,Model_237,6071.45070935745
70,Shifter_28,5132.369757802054
156,Brand_98,5120.029226590943
42,Clime_5,4694.071425278963
5,doorsnumber,4466.821152781648
31,Region_14,2887.8849950379663
155,Brand_93,2479.6875537010333
1,proseller,2300.054252082015
157,Brand_99,2140.552514891908
57,Shifter_15,1826.4973604289737
69,Shifter_27,1790.036222773863
48,Shifter_5,1557.3007183192185
308,Model_163,1526.7908125858762
106,Color_190,1466.4062823387367
987,Car Type_13,1458.5100238997309
110,Brand_8,1354.7743910128504
146,Brand_76,1306.7097207854515
337,Model_194,1247.8319727638348
139,Brand_62,1229.0418750718634
135,Brand_57,1208.8834458608364
67,Shifter_25,1130.3775717572796
37,Region_20,1000.2652833445716
127,Brand_42,914.9036619724225
537,Model_415,717.5257122560079
980,Car Type_3,711.5471177912214
1003,Drive_4,698.0937214068955
4,person_capacity,686.0917800628828
381,Model_241,679.8705006523795
123,Brand_31,657.5590545094404
40,Clime_3,555.7344939514038
154,Brand_87,535.5988131728839
80,Color_40,529.8603880558674
452,Model_321,496.419513870572
112,Brand_13,490.748142087372
143,Brand_70,450.28939903519495
463,Model_332,428.7884984970194
142,Brand_69,411.4883396961979
44,Shifter_1,411.11948019717005
438,Model_306,382.1637363739096
72,Color_10,365.48991031390136
982,Car Type_6,338.70874295734166
98,Color_130,285.5487034785033
986,Car Type_12,232.9654231024736
43,Clime_6,194.15389519036265
984,Car Type_9,179.80422038490306
150,Brand_83,123.00659175444092
74,Color_20,40.258695013879844
699,Model_657,0.0
685,Model_625,0.0
704,Model_662,0.0
703,Model_661,0.0
686,Model_629,0.0
702,Model_660,0.0
701,Model_659,0.0
700,Model_658,0.0
687,Model_631,0.0
688,Model_632,0.0
692,Model_649,0.0
693,Model_650,0.0
697,Model_654,0.0
696,Model_653,0.0
689,Model_635,0.0
690,Model_639,0.0
695,Model_652,0.0
691,Model_644,0.0
694,Model_651,0.0
684,Model_620,0.0
698,Model_655,0.0
50,Shifter_7,0.0
683,Model_617,0.0
682,Model_614,0.0
654,Model_556,0.0
655,Model_557,0.0
656,Model_558,0.0
657,Model_559,0.0
658,Model_561,0.0
659,Model_562,0.0
660,Model_563,0.0
661,Model_564,0.0
662,Model_565,0.0
663,Model_566,0.0
664,Model_568,0.0
665,Model_569,0.0
666,Model_571,0.0
667,Model_577,0.0
668,Model_582,0.0
669,Model_584,0.0
670,Model_585,0.0
671,Model_588,0.0
672,Model_590,0.0
673,Model_593,0.0
674,Model_595,0.0
675,Model_596,0.0
676,Model_599,0.0
677,Model_601,0.0
678,Model_602,0.0
680,Model_604,0.0
681,Model_606,0.0
679,Model_603,0.0
710,Model_670,0.0
705,Model_663,0.0
736,Model_700,0.0
738,Model_706,0.0
739,Model_709,0.0
740,Model_715,0.0
741,Model_716,0.0
742,Model_720,0.0
743,Model_722,0.0
744,Model_724,0.0
745,Model_725,0.0
746,Model_729,0.0
747,Model_731,0.0
748,Model_733,0.0
749,Model_737,0.0
750,Model_739,0.0
751,Model_740,0.0
752,Model_741,0.0
753,Model_743,0.0
754,Model_745,0.0
755,Model_753,0.0
756,Model_754,0.0
757,Model_756,0.0
758,Model_757,0.0
759,Model_758,0.0
760,Model_759,0.0
761,Model_760,0.0
762,Model_761,0.0
763,Model_764,0.0
764,Model_767,0.0
737,Model_701,0.0
735,Model_699,0.0
706,Model_664,0.0
734,Model_698,0.0
707,Model_665,0.0
708,Model_667,0.0
709,Model_668,0.0
652,Model_553,0.0
711,Model_671,0.0
712,Model_672,0.0
713,Model_673,0.0
714,Model_674,0.0
715,Model_676,0.0
716,Model_678,0.0
717,Model_679,0.0
718,Model_680,0.0
719,Model_681,0.0
720,Model_682,0.0
721,Model_683,0.0
722,Model_684,0.0
723,Model_686,0.0
724,Model_687,0.0
725,Model_688,0.0
726,Model_690,0.0
727,Model_691,0.0
728,Model_692,0.0
729,Model_693,0.0
730,Model_694,0.0
731,Model_695,0.0
732,Model_696,0.0
733,Model_697,0.0
653,Model_554,0.0
641,Model_540,0.0
651,Model_552,0.0
565,Model_448,0.0
567,Model_450,0.0
568,Model_451,0.0
569,Model_452,0.0
570,Model_453,0.0
571,Model_455,0.0
572,Model_456,0.0
573,Model_457,0.0
574,Model_458,0.0
575,Model_459,0.0
576,Model_461,0.0
577,Model_462,0.0
578,Model_463,0.0
579,Model_465,0.0
580,Model_466,0.0
581,Model_467,0.0
582,Model_468,0.0
583,Model_469,0.0
584,Model_470,0.0
585,Model_471,0.0
586,Model_472,0.0
587,Model_473,0.0
588,Model_474,0.0
589,Model_475,0.0
590,Model_477,0.0
591,Model_478,0.0
566,Model_449,0.0
564,Model_446,0.0
593,Model_480,0.0
563,Model_445,0.0
538,Model_416,0.0
539,Model_417,0.0
540,Model_418,0.0
541,Model_419,0.0
542,Model_420,0.0
543,Model_421,0.0
544,Model_422,0.0
545,Model_423,0.0
546,Model_424,0.0
547,Model_425,0.0
548,Model_426,0.0
549,Model_428,0.0
550,Model_430,0.0
551,Model_431,0.0
552,Model_432,0.0
553,Model_433,0.0
554,Model_434,0.0
555,Model_435,0.0
556,Model_436,0.0
557,Model_437,0.0
558,Model_438,0.0
559,Model_439,0.0
560,Model_442,0.0
561,Model_443,0.0
562,Model_444,0.0
592,Model_479,0.0
594,Model_481,0.0
650,Model_551,0.0
623,Model_520,0.0
625,Model_522,0.0
626,Model_523,0.0
627,Model_524,0.0
628,Model_525,0.0
629,Model_526,0.0
630,Model_527,0.0
631,Model_528,0.0
632,Model_529,0.0
633,Model_530,0.0
634,Model_532,0.0
635,Model_533,0.0
636,Model_534,0.0
637,Model_535,0.0
638,Model_536,0.0
639,Model_537,0.0
640,Model_539,0.0
766,Model_771,0.0
642,Model_541,0.0
643,Model_544,0.0
644,Model_545,0.0
645,Model_546,0.0
646,Model_547,0.0
647,Model_548,0.0
648,Model_549,0.0
649,Model_550,0.0
624,Model_521,0.0
622,Model_519,0.0
595,Model_484,0.0
621,Model_518,0.0
596,Model_487,0.0
597,Model_488,0.0
598,Model_489,0.0
599,Model_490,0.0
600,Model_492,0.0
601,Model_493,0.0
602,Model_494,0.0
603,Model_495,0.0
604,Model_497,0.0
605,Model_498,0.0
606,Model_499,0.0
607,Model_500,0.0
608,Model_501,0.0
609,Model_502,0.0
610,Model_503,0.0
611,Model_504,0.0
612,Model_506,0.0
613,Model_507,0.0
614,Model_509,0.0
615,Model_511,0.0
616,Model_512,0.0
617,Model_513,0.0
618,Model_514,0.0
619,Model_515,0.0
620,Model_517,0.0
765,Model_768,0.0
775,Model_793,0.0
767,Model_775,0.0
927,Model_1181,0.0
915,Model_1135,0.0
916,Model_1136,0.0
917,Model_1138,0.0
918,Model_1139,0.0
919,Model_1140,0.0
920,Model_1141,0.0
921,Model_1148,0.0
922,Model_1153,0.0
923,Model_1156,0.0
924,Model_1165,0.0
925,Model_1178,0.0
926,Model_1179,0.0
928,Model_1182,0.0
884,Model_1032,0.0
929,Model_1183,0.0
930,Model_1185,0.0
931,Model_1186,0.0
932,Model_1188,0.0
933,Model_1190,0.0
934,Model_1191,0.0
935,Model_1192,0.0
936,Model_1194,0.0
937,Model_1195,0.0
938,Model_1196,0.0
939,Model_1200,0.0
940,Model_1201,0.0
914,Model_1134,0.0
913,Model_1133,0.0
912,Model_1129,0.0
911,Model_1128,0.0
886,Model_1037,0.0
887,Model_1048,0.0
888,Model_1051,0.0
889,Model_1058,0.0
890,Model_1059,0.0
891,Model_1062,0.0
892,Model_1065,0.0
893,Model_1067,0.0
894,Model_1068,0.0
895,Model_1069,0.0
896,Model_1070,0.0
897,Model_1072,0.0
898,Model_1073,0.0
899,Model_1075,0.0
900,Model_1076,0.0
901,Model_1078,0.0
902,Model_1080,0.0
903,Model_1081,0.0
904,Model_1082,0.0
905,Model_1092,0.0
906,Model_1097,0.0
907,Model_1112,0.0
908,Model_1119,0.0
909,Model_1123,0.0
