,Feature,SHAP Importance
3,mileage,1676350.147061808
9,msrp,1443410.519017223
8,antiguedad,907341.3926074291
18,power,136061.14542614023
1000,Environmental_6,130264.67532000579
998,Environmental_4,61414.45780628238
999,Environmental_5,56353.845997245946
16,acceleration,46200.578979213045
56,Shifter_14,33282.2892598649
7,highlighted,21404.769934801665
14,consump_mixed,16620.319409219173
10,weight,14071.073670834774
11,fuel_tank,11822.703624736077
1001,Environmental_7,9414.191729559863
124,Brand_36,7937.987176962734
17,torque,7047.00610687036
6,ccm,5362.329845871957
15,top_speed,5075.590080074169
12,boot_capacity,4719.170650719526
979,Category_9,4157.864875147103
23,Region_6,3794.8208052058258
2,adoldness,3696.0832710176246
1,proseller,3021.878671386323
69,Shifter_27,2900.341863398002
976,Category_6,2627.772377727211
992,Fuel_3,2086.0391874361444
465,Model_334,1806.2011775814717
997,Environmental_3,1718.2766241902038
377,Model_237,1674.1290230128836
38,Region_21,1508.855181859731
144,Brand_73,1306.9806819552114
70,Shifter_28,1270.1495519746388
157,Brand_99,1251.784723532901
987,Car Type_13,1133.1290886066183
41,Clime_4,1112.603091271829
13,cylinders,1103.5075375937627
19,Region_2,1046.2732651922665
0,numpictures,974.5404742170705
994,Fuel_5,910.3109678991143
1003,Drive_4,873.50342954337
137,Brand_59,848.3007283165831
973,Category_3,844.754984537877
141,Brand_66,739.3739657587499
4,person_capacity,707.7820507775094
949,Model_1224,646.6826242531628
984,Car Type_9,569.5888407836542
337,Model_194,533.4331678175365
986,Car Type_12,530.2792918380073
20,Region_3,497.70129774299477
27,Region_10,479.2467671503692
799,Model_836,473.0284596658525
259,Model_107,451.519647132938
5,doorsnumber,437.2518812150147
778,Model_802,428.99856019833385
43,Clime_6,387.4833585303179
666,Model_571,383.1726784815861
978,Category_8,383.15589091027425
168,Model_14,371.71850329543366
68,Shifter_26,361.155159374624
498,Model_372,320.67901502115984
67,Shifter_25,312.31353401202256
192,Model_38,287.1365660329679
22,Region_5,284.6005796554868
247,Model_95,269.92715162426754
920,Model_1141,264.25971437163724
106,Color_190,262.20840856197924
980,Car Type_3,253.44130113431186
956,Model_1235,246.36665829534644
110,Brand_8,245.66263530622007
72,Color_10,243.7280884432835
242,Model_90,237.34795312765888
82,Color_60,236.8771383595515
42,Clime_5,231.28863808808916
216,Model_64,212.64569066926381
66,Shifter_24,199.99231635848247
574,Model_458,195.98104739754132
112,Brand_13,195.71297784542813
142,Brand_69,188.50282262703107
504,Model_380,179.76810692858197
189,Model_35,176.5729324315546
245,Model_93,175.2107634297239
24,Region_7,168.62415450680166
262,Model_110,168.32066914025214
155,Brand_93,168.14650729672266
648,Model_549,162.69945552002523
21,Region_4,157.38064833144193
31,Region_14,147.34915665912092
48,Shifter_5,144.22992812404203
123,Brand_31,141.68798721604233
854,Model_964,139.6948235890705
381,Model_241,135.10889299052485
100,Color_132,128.46559021550055
249,Model_97,128.4557582487334
71,Shifter_29,128.28559523685468
716,Model_678,126.76688598769135
79,Color_30,118.46615382715522
39,Clime_2,116.69390751586525
80,Color_40,116.41461864336362
263,Model_111,113.62085594664744
40,Clime_3,109.15961936537022
57,Shifter_15,107.61632517552538
972,Category_2,106.85932215453269
44,Shifter_1,105.32613699169244
407,Model_270,101.40835998324738
1002,Drive_2,96.47411503092566
899,Model_1075,93.32001600316255
275,Model_125,91.01161938785731
522,Model_399,87.80169272162307
801,Model_839,82.10280641758212
156,Brand_98,81.3374662101256
725,Model_688,80.00890195758103
26,Region_9,78.41803675438649
732,Model_696,75.64254526408452
643,Model_544,73.9125509478822
115,Brand_17,72.9693781104851
564,Model_446,72.64005552652272
883,Model_1031,69.99199428344957
52,Shifter_9,69.88723475752963
37,Region_20,69.05562706772179
581,Model_467,68.75437143242326
561,Model_443,68.3546980859586
527,Model_405,66.54613073875363
139,Brand_62,66.50094196166337
204,Model_50,66.22298280385208
81,Color_50,64.8285107951258
205,Model_51,63.55188099695316
174,Model_20,63.282724309634666
98,Color_130,62.293389199951214
276,Model_126,61.974158466755746
181,Model_27,60.03371426602134
76,Color_22,59.93950954748211
125,Brand_39,59.84420307398545
981,Car Type_5,57.57289526747653
282,Model_133,56.78668316002689
417,Model_281,56.78077236938909
796,Model_832,56.76436078596893
266,Model_114,56.19744648629561
596,Model_487,53.70516394943026
545,Model_423,52.839756947589734
265,Model_113,52.60588750379526
29,Region_12,51.31252948075719
87,Color_71,49.769919296369096
190,Model_36,49.480544561624704
588,Model_474,48.9198428754824
223,Model_71,48.478595248410166
140,Brand_63,47.51599750352928
736,Model_700,45.59871276479118
982,Car Type_6,45.325742665381576
206,Model_52,44.93480439496556
188,Model_34,44.72334763514933
32,Region_15,44.67578298392358
61,Shifter_19,44.564547461209436
35,Region_18,42.0943879572156
902,Model_1080,41.48776383334943
371,Model_231,40.85825795816896
146,Brand_76,40.61040309390191
50,Shifter_7,39.56365558621818
49,Shifter_6,39.53486438920075
65,Shifter_23,39.040539355684
25,Region_8,38.694394905807165
74,Color_20,37.06018560850584
897,Model_1072,36.66674577978211
229,Model_77,34.58508098618297
102,Color_150,34.56323438968311
150,Brand_83,33.93754922240789
625,Model_522,33.40900497444348
241,Model_89,31.60880921685622
133,Brand_48,30.17116762968805
577,Model_462,29.793469050137592
658,Model_561,29.59351720466792
610,Model_503,29.49585417025973
136,Brand_58,28.55233376540822
901,Model_1078,28.314096269713424
193,Model_39,28.29015423880843
258,Model_106,27.63111586302476
821,Model_884,27.561691811122255
524,Model_402,27.551507894632174
36,Region_19,26.692755163076832
269,Model_117,26.42381464962102
256,Model_104,26.088295953347274
989,Car Type_15,25.893340586520292
251,Model_99,25.202184652857113
323,Model_179,25.196415615261145
629,Model_526,24.417569441256845
33,Region_16,23.49780511333937
318,Model_173,23.31372879992841
179,Model_25,23.310504733000432
99,Color_131,23.232555816723533
91,Color_81,23.219315779527708
246,Model_94,21.551512278467694
463,Model_332,21.444824954508604
194,Model_40,20.400002412724128
45,Shifter_2,20.380393882333728
974,Category_4,20.302283056845862
89,Color_73,20.20295063645486
191,Model_37,20.194159785425683
723,Model_686,18.533837853145158
877,Model_1018,18.464121198674356
176,Model_22,18.331794533343025
514,Model_391,18.000241416816504
977,Category_7,17.941731731352775
272,Model_122,17.768139091239785
550,Model_430,17.753041069388008
502,Model_377,17.415198048361145
995,Fuel_6,17.10552894610682
904,Model_1082,17.071511772038672
114,Brand_16,16.926990798772255
248,Model_96,16.625479112603283
656,Model_558,16.55680942887796
128,Brand_43,16.545186179925683
117,Brand_19,15.816350129663387
733,Model_697,15.41291088432459
149,Brand_81,15.387275031219666
28,Region_11,15.366361177602862
218,Model_66,15.133074662033138
312,Model_167,15.1293451695318
92,Color_90,14.744294790471255
634,Model_532,14.632335203152508
203,Model_49,14.525221471150052
540,Model_418,14.506505874069523
814,Model_867,14.471104418860342
562,Model_444,14.315049373307746
180,Model_26,14.118553639925782
515,Model_392,13.173743054775152
126,Brand_40,12.90093937641583
163,Model_8,12.88480551599197
653,Model_554,12.746485037240719
583,Model_469,12.546685769946675
143,Brand_70,12.321082249508448
254,Model_102,11.527432491945381
154,Brand_87,11.191821485367447
494,Model_368,11.06071217943171
791,Model_826,10.957685187003467
776,Model_795,10.951578330011664
127,Brand_42,10.822238154671377
458,Model_327,10.718994840168087
