ad_id,region_id,ad_price,numpictures,proseller,adoldness,mileage,clime_id,shifter,person_capacity,doorsnumber,color,brand_id,model_id,ccm,highlighted,antiguedad,category_id,msrp,car_type_id,weight,fuel_tank,boot_capacity,fuel,environmental_id,cylinders,drive_id,consump_mixed,top_speed,acceleration,torque,power
4066033,13,1290000,6,0,3509,148000,4,14,5,5,22,69,231,1364,0,1714,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
14987234,3,1470000,8,1,155,147000,2,14,5,5,131,69,231,1364,0,43753,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
15262033,4,599000,3,1,114,369000,4,14,5,5,30,69,231,1364,0,43830,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
15290375,3,829000,6,0,29,232000,2,14,5,5,40,69,231,1364,1,5274,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
15416093,14,1149000,12,1,1,123940,2,14,5,5,40,69,231,1364,1,5063,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
15477037,5,967000,10,1,19,253885,2,0,5,5,60,69,231,1364,0,5778,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
15483792,8,1449000,9,1,23,158453,4,14,5,5,131,69,231,1364,0,4653,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
15486577,8,1449000,11,1,22,52626,4,14,5,5,40,69,231,1364,0,5719,1,3897000.0,6,1155.0,52.0,350.0,0,4,4.0,1,6.3,178.0,13.7,125.0,90.0
4246385,9,1450000,6,0,3435,185000,2,14,5,5,132,81,189,1390,0,1880,1,3399000.0,6,1135.0,55.0,340.0,0,4,4.0,1,6.5,175.0,14.3,128.0,75.0
15617443,6,599000,10,1,23,290277,2,14,5,5,190,81,189,1390,0,6270,1,3399000.0,6,1135.0,55.0,340.0,0,4,4.0,1,6.5,175.0,14.3,128.0,75.0
5440448,15,9990000,6,0,3022,98500,5,24,2,2,40,59,1192,5439,0,40923,8,38388000.0,15,1955.0,80.0,317.0,0,7,8.0,2,14.2,250.0,4.7,700.0,500.0
13298926,14,8990000,6,0,621,102000,3,24,2,2,190,59,1192,5439,0,43324,8,38388000.0,15,1955.0,80.0,317.0,0,7,8.0,2,14.2,250.0,4.7,700.0,500.0
15617927,10,8200000,9,1,10,118000,3,24,2,2,190,59,1192,5439,0,6468,8,38388000.0,15,1955.0,80.0,317.0,0,7,8.0,2,14.2,250.0,4.7,700.0,500.0
